task,model,model_family,variant,noise_type,noise_level,num_samples,accuracy,macro_f1,weighted_f1,clean_accuracy,variant_accuracy,accuracy_drop,accuracy_relative_drop_percent,clean_macro_f1,variant_macro_f1,macro_f1_drop,macro_f1_relative_drop_percent,clean_weighted_f1,variant_weighted_f1,weighted_f1_drop,weighted_f1_relative_drop_percent,rank_macro_f1_within_variant,is_best_model_for_variant,variant_order,model_order
sentiment,phobert,phobert,clean,clean,none,3166,0.931459,0.822815,0.929772,0.931459,0.931459,0.0,0.0,0.822815,0.822815,0.0,0.0,0.929772,0.929772,0.0,0.0,1,True,0,3
sentiment,tfidf_char_svm,baseline,clean,clean,none,3166,0.8752368919772584,0.7387842592562812,0.8765275526811909,0.8752368919772584,0.8752368919772584,0.0,0.0,0.7387842592562812,0.7387842592562812,0.0,0.0,0.8765275526811909,0.8765275526811909,0.0,0.0,2,False,0,2
sentiment,tfidf_word_svm,baseline,clean,clean,none,3166,0.8919772583701832,0.7289041804941077,0.8869996271404461,0.8919772583701832,0.8919772583701832,0.0,0.0,0.7289041804941077,0.7289041804941077,0.0,0.0,0.8869996271404461,0.8869996271404461,0.0,0.0,3,False,0,1
sentiment,majority,baseline,clean,clean,none,3166,0.5022109917877448,0.2228763666947014,0.3357928834913852,0.5022109917877448,0.5022109917877448,0.0,0.0,0.2228763666947014,0.2228763666947014,0.0,0.0,0.3357928834913852,0.3357928834913852,0.0,0.0,4,False,0,0
sentiment,phobert,phobert,typo_light,typo,light,3166,0.929248,0.820352,0.927437,0.931459,0.929248,0.002211,0.2374,0.822815,0.820352,0.002463,0.2993,0.929772,0.927437,0.002335,0.2511,1,True,1,3
sentiment,tfidf_char_svm,baseline,typo_light,typo,light,3166,0.8733417561591914,0.7315445704530212,0.8749146482582396,0.8752368919772584,0.8733417561591914,0.001895,0.2165,0.7387842592562812,0.7315445704530212,0.00724,0.9799,0.8765275526811909,0.8749146482582396,0.001613,0.184,2,False,1,2
sentiment,tfidf_word_svm,baseline,typo_light,typo,light,3166,0.8878711307643714,0.7226169658009932,0.8825469705451444,0.8919772583701832,0.8878711307643714,0.004106,0.4603,0.7289041804941077,0.7226169658009932,0.006287,0.8626,0.8869996271404461,0.8825469705451444,0.004453,0.502,3,False,1,1
sentiment,majority,baseline,typo_light,typo,light,3166,0.5022109917877448,0.2228763666947014,0.3357928834913852,0.5022109917877448,0.5022109917877448,0.0,0.0,0.2228763666947014,0.2228763666947014,0.0,0.0,0.3357928834913852,0.3357928834913852,0.0,0.0,4,False,1,0
sentiment,phobert,phobert,typo_medium,typo,medium,3166,0.927353,0.818815,0.926026,0.931459,0.927353,0.004106,0.4408,0.822815,0.818815,0.004,0.4861,0.929772,0.926026,0.003746,0.4029,1,True,2,3
sentiment,tfidf_char_svm,baseline,typo_medium,typo,medium,3166,0.8704990524320909,0.7312117612953793,0.8725580666433377,0.8752368919772584,0.8704990524320909,0.004738,0.5413,0.7387842592562812,0.7312117612953793,0.007572,1.025,0.8765275526811909,0.8725580666433377,0.003969,0.4529,2,False,2,2
sentiment,tfidf_word_svm,baseline,typo_medium,typo,medium,3166,0.8818698673404928,0.7140890481286362,0.8771206549800705,0.8919772583701832,0.8818698673404928,0.010107,1.1331,0.7289041804941077,0.7140890481286362,0.014815,2.0325,0.8869996271404461,0.8771206549800705,0.009879,1.1138,3,False,2,1
sentiment,majority,baseline,typo_medium,typo,medium,3166,0.5022109917877448,0.2228763666947014,0.3357928834913852,0.5022109917877448,0.5022109917877448,0.0,0.0,0.2228763666947014,0.2228763666947014,0.0,0.0,0.3357928834913852,0.3357928834913852,0.0,0.0,4,False,2,0
sentiment,phobert,phobert,teencode_light,teencode,light,3166,0.924826,0.814152,0.923594,0.931459,0.924826,0.006633,0.7121,0.822815,0.814152,0.008663,1.0528,0.929772,0.923594,0.006178,0.6645,1,True,3,3
sentiment,tfidf_char_svm,baseline,teencode_light,teencode,light,3166,0.8692356285533797,0.7334577372017494,0.87165571559739,0.8752368919772584,0.8692356285533797,0.006001,0.6857,0.7387842592562812,0.7334577372017494,0.005327,0.721,0.8765275526811909,0.87165571559739,0.004872,0.5558,2,False,3,2
sentiment,tfidf_word_svm,baseline,teencode_light,teencode,light,3166,0.8856601389766267,0.7213042675090274,0.8809036528509989,0.8919772583701832,0.8856601389766267,0.006317,0.7082,0.7289041804941077,0.7213042675090274,0.0076,1.0426,0.8869996271404461,0.8809036528509989,0.006096,0.6873,3,False,3,1
sentiment,majority,baseline,teencode_light,teencode,light,3166,0.5022109917877448,0.2228763666947014,0.3357928834913852,0.5022109917877448,0.5022109917877448,0.0,0.0,0.2228763666947014,0.2228763666947014,0.0,0.0,0.3357928834913852,0.3357928834913852,0.0,0.0,4,False,3,0
sentiment,phobert,phobert,mixed_light,mixed,light,3166,0.921668,0.813839,0.920467,0.931459,0.921668,0.009791,1.0511,0.822815,0.813839,0.008976,1.0909,0.929772,0.920467,0.009305,1.0008,1,True,4,3
sentiment,tfidf_char_svm,baseline,mixed_light,mixed,light,3166,0.8644977890082123,0.7248298089551014,0.8675964676368965,0.8752368919772584,0.8644977890082123,0.010739,1.227,0.7387842592562812,0.7248298089551014,0.013954,1.8888,0.8765275526811909,0.8675964676368965,0.008931,1.0189,2,False,4,2
sentiment,tfidf_word_svm,baseline,mixed_light,mixed,light,3166,0.8818698673404928,0.7174282426662465,0.8768277257213706,0.8919772583701832,0.8818698673404928,0.010107,1.1331,0.7289041804941077,0.7174282426662465,0.011476,1.5744,0.8869996271404461,0.8768277257213706,0.010172,1.1468,3,False,4,1
sentiment,majority,baseline,mixed_light,mixed,light,3166,0.5022109917877448,0.2228763666947014,0.3357928834913852,0.5022109917877448,0.5022109917877448,0.0,0.0,0.2228763666947014,0.2228763666947014,0.0,0.0,0.3357928834913852,0.3357928834913852,0.0,0.0,4,False,4,0
sentiment,tfidf_char_svm,baseline,no_accent,remove_diacritics,medium,3166,0.474415666456096,0.414024354738369,0.5228120042882902,0.8752368919772584,0.474415666456096,0.400821,45.7957,0.7387842592562812,0.414024354738369,0.32476,43.9587,0.8765275526811909,0.5228120042882902,0.353716,40.3542,1,True,5,2
sentiment,tfidf_word_svm,baseline,no_accent,remove_diacritics,medium,3166,0.4068224889450411,0.3596849383253983,0.4474244434998851,0.8919772583701832,0.4068224889450411,0.485155,54.3909,0.7289041804941077,0.3596849383253983,0.369219,50.654,0.8869996271404461,0.4474244434998851,0.439575,49.5575,2,False,5,1
sentiment,phobert,phobert,no_accent,remove_diacritics,medium,3166,0.375237,0.339899,0.429524,0.931459,0.375237,0.556222,59.7151,0.822815,0.339899,0.482916,58.6907,0.929772,0.429524,0.500248,53.8033,3,False,5,3
sentiment,majority,baseline,no_accent,remove_diacritics,medium,3166,0.5022109917877448,0.2228763666947014,0.3357928834913852,0.5022109917877448,0.5022109917877448,0.0,0.0,0.2228763666947014,0.2228763666947014,0.0,0.0,0.3357928834913852,0.3357928834913852,0.0,0.0,4,False,5,0
sentiment,tfidf_char_svm,baseline,mixed_no_accent,mixed,medium,3166,0.4696778269109286,0.4110004826359039,0.5198132881003801,0.8752368919772584,0.4696778269109286,0.405559,46.3371,0.7387842592562812,0.4110004826359039,0.327784,44.368,0.8765275526811909,0.5198132881003801,0.356714,40.6963,1,True,6,2
sentiment,tfidf_word_svm,baseline,mixed_no_accent,mixed,medium,3166,0.401452937460518,0.3571448990805446,0.4426463162292909,0.8919772583701832,0.401452937460518,0.490524,54.9929,0.7289041804941077,0.3571448990805446,0.371759,51.0025,0.8869996271404461,0.4426463162292909,0.444353,50.0962,2,False,6,1
sentiment,phobert,phobert,mixed_no_accent,mixed,medium,3166,0.371762,0.340462,0.430592,0.931459,0.371762,0.559697,60.0882,0.822815,0.340462,0.482353,58.6223,0.929772,0.430592,0.49918,53.6884,3,False,6,3
sentiment,majority,baseline,mixed_no_accent,mixed,medium,3166,0.5022109917877448,0.2228763666947014,0.3357928834913852,0.5022109917877448,0.5022109917877448,0.0,0.0,0.2228763666947014,0.2228763666947014,0.0,0.0,0.3357928834913852,0.3357928834913852,0.0,0.0,4,False,6,0
topic,phobert,phobert,clean,clean,none,3166,0.896399,0.800073,0.894241,0.896399,0.896399,0.0,0.0,0.800073,0.800073,0.0,0.0,0.894241,0.894241,0.0,0.0,1,True,0,3
topic,tfidf_word_svm,baseline,clean,clean,none,3166,0.8584965255843335,0.7509224329491841,0.8598470959343006,0.8584965255843335,0.8584965255843335,0.0,0.0,0.7509224329491841,0.7509224329491841,0.0,0.0,0.8598470959343006,0.8598470959343006,0.0,0.0,2,False,0,1
topic,tfidf_char_svm,baseline,clean,clean,none,3166,0.8335439039797852,0.732207043612927,0.8405751122231676,0.8335439039797852,0.8335439039797852,0.0,0.0,0.732207043612927,0.732207043612927,0.0,0.0,0.8405751122231676,0.8405751122231676,0.0,0.0,3,False,0,2
topic,majority,baseline,clean,clean,none,3166,0.7233101705622236,0.2098607038123167,0.6071775258751805,0.7233101705622236,0.7233101705622236,0.0,0.0,0.2098607038123167,0.2098607038123167,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0,4,False,0,0
topic,phobert,phobert,typo_light,typo,light,3166,0.893557,0.795476,0.891452,0.896399,0.893557,0.002842,0.317,0.800073,0.795476,0.004597,0.5746,0.894241,0.891452,0.002789,0.3119,1,True,1,3
topic,tfidf_word_svm,baseline,typo_light,typo,light,3166,0.8553379658875553,0.7496646231407127,0.8574537906854403,0.8584965255843335,0.8553379658875553,0.003159,0.3679,0.7509224329491841,0.7496646231407127,0.001258,0.1675,0.8598470959343006,0.8574537906854403,0.002393,0.2783,2,False,1,1
topic,tfidf_char_svm,baseline,typo_light,typo,light,3166,0.8269109286165508,0.7230794678963879,0.8347234855443036,0.8335439039797852,0.8269109286165508,0.006633,0.7958,0.732207043612927,0.7230794678963879,0.009128,1.2466,0.8405751122231676,0.8347234855443036,0.005852,0.6961,3,False,1,2
topic,majority,baseline,typo_light,typo,light,3166,0.7233101705622236,0.2098607038123167,0.6071775258751805,0.7233101705622236,0.7233101705622236,0.0,0.0,0.2098607038123167,0.2098607038123167,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0,4,False,1,0
topic,phobert,phobert,typo_medium,typo,medium,3166,0.885344,0.78659,0.884517,0.896399,0.885344,0.011055,1.2333,0.800073,0.78659,0.013483,1.6852,0.894241,0.884517,0.009724,1.0874,1,True,2,3
topic,tfidf_word_svm,baseline,typo_medium,typo,medium,3166,0.8487049905243209,0.7396925342556816,0.8517134975197785,0.8584965255843335,0.8487049905243209,0.009792,1.1405,0.7509224329491841,0.7396925342556816,0.01123,1.4955,0.8598470959343006,0.8517134975197785,0.008134,0.9459,2,False,2,1
topic,tfidf_char_svm,baseline,typo_medium,typo,medium,3166,0.8259633607075174,0.7214172771884035,0.8343510883718528,0.8335439039797852,0.8259633607075174,0.007581,0.9094,0.732207043612927,0.7214172771884035,0.01079,1.4736,0.8405751122231676,0.8343510883718528,0.006224,0.7404,3,False,2,2
topic,majority,baseline,typo_medium,typo,medium,3166,0.7233101705622236,0.2098607038123167,0.6071775258751805,0.7233101705622236,0.7233101705622236,0.0,0.0,0.2098607038123167,0.2098607038123167,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0,4,False,2,0
topic,phobert,phobert,teencode_light,teencode,light,3166,0.885028,0.785276,0.883645,0.896399,0.885028,0.011371,1.2685,0.800073,0.785276,0.014797,1.8495,0.894241,0.883645,0.010596,1.1849,1,True,3,3
topic,tfidf_word_svm,baseline,teencode_light,teencode,light,3166,0.8550221099178774,0.7490034519167426,0.8566821852131666,0.8584965255843335,0.8550221099178774,0.003474,0.4047,0.7509224329491841,0.7490034519167426,0.001919,0.2555,0.8598470959343006,0.8566821852131666,0.003165,0.3681,2,False,3,1
topic,tfidf_char_svm,baseline,teencode_light,teencode,light,3166,0.822804801010739,0.7196435710700673,0.8315798444705091,0.8335439039797852,0.822804801010739,0.010739,1.2884,0.732207043612927,0.7196435710700673,0.012563,1.7158,0.8405751122231676,0.8315798444705091,0.008995,1.0701,3,False,3,2
topic,majority,baseline,teencode_light,teencode,light,3166,0.7233101705622236,0.2098607038123167,0.6071775258751805,0.7233101705622236,0.7233101705622236,0.0,0.0,0.2098607038123167,0.2098607038123167,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0,4,False,3,0
topic,phobert,phobert,mixed_light,mixed,light,3166,0.881238,0.777107,0.879876,0.896399,0.881238,0.015161,1.6913,0.800073,0.777107,0.022966,2.8705,0.894241,0.879876,0.014365,1.6064,1,True,4,3
topic,tfidf_word_svm,baseline,mixed_light,mixed,light,3166,0.8461781427668983,0.7362050498817199,0.8486785631489602,0.8584965255843335,0.8461781427668983,0.012318,1.4349,0.7509224329491841,0.7362050498817199,0.014717,1.9599,0.8598470959343006,0.8486785631489602,0.011169,1.2989,2,False,4,1
topic,tfidf_char_svm,baseline,mixed_light,mixed,light,3166,0.8212255211623499,0.7185785596255889,0.8301093471729677,0.8335439039797852,0.8212255211623499,0.012318,1.4778,0.732207043612927,0.7185785596255889,0.013628,1.8613,0.8405751122231676,0.8301093471729677,0.010466,1.2451,3,False,4,2
topic,majority,baseline,mixed_light,mixed,light,3166,0.7233101705622236,0.2098607038123167,0.6071775258751805,0.7233101705622236,0.7233101705622236,0.0,0.0,0.2098607038123167,0.2098607038123167,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0,4,False,4,0
topic,tfidf_char_svm,baseline,no_accent,remove_diacritics,medium,3166,0.4361970941250789,0.2957021068403762,0.4995718303929242,0.8335439039797852,0.4361970941250789,0.397347,47.6696,0.732207043612927,0.2957021068403762,0.436505,59.615,0.8405751122231676,0.4995718303929242,0.341003,40.5679,1,True,5,2
topic,tfidf_word_svm,baseline,no_accent,remove_diacritics,medium,3166,0.3297536323436513,0.2613589496179329,0.406454846373966,0.8584965255843335,0.3297536323436513,0.528743,61.5894,0.7509224329491841,0.2613589496179329,0.489563,65.1949,0.8598470959343006,0.406454846373966,0.453392,52.7294,2,False,5,1
topic,majority,baseline,no_accent,remove_diacritics,medium,3166,0.7233101705622236,0.2098607038123167,0.6071775258751805,0.7233101705622236,0.7233101705622236,0.0,0.0,0.2098607038123167,0.2098607038123167,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0,3,False,5,0
topic,phobert,phobert,no_accent,remove_diacritics,medium,3166,0.252369,0.1866,0.320529,0.896399,0.252369,0.64403,71.8464,0.800073,0.1866,0.613473,76.6771,0.894241,0.320529,0.573712,64.1563,4,False,5,3
topic,tfidf_char_svm,baseline,mixed_no_accent,mixed,medium,3166,0.4320909665192672,0.3002822838228516,0.4964272333151485,0.8335439039797852,0.4320909665192672,0.401453,48.1622,0.732207043612927,0.3002822838228516,0.431925,58.9894,0.8405751122231676,0.4964272333151485,0.344148,40.942,1,True,6,2
topic,tfidf_word_svm,baseline,mixed_no_accent,mixed,medium,3166,0.3278584965255843,0.2616962667568826,0.404850423912763,0.8584965255843335,0.3278584965255843,0.530638,61.8102,0.7509224329491841,0.2616962667568826,0.489226,65.15,0.8598470959343006,0.404850423912763,0.454997,52.916,2,False,6,1
topic,majority,baseline,mixed_no_accent,mixed,medium,3166,0.7233101705622236,0.2098607038123167,0.6071775258751805,0.7233101705622236,0.7233101705622236,0.0,0.0,0.2098607038123167,0.2098607038123167,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0,3,False,6,0
topic,phobert,phobert,mixed_no_accent,mixed,medium,3166,0.244157,0.187029,0.31136,0.896399,0.244157,0.652242,72.7625,0.800073,0.187029,0.613044,76.6235,0.894241,0.31136,0.582881,65.1816,4,False,6,3
