task,model,variant,noise_type,noise_level,num_samples,accuracy,macro_f1,weighted_f1
sentiment,majority,clean,clean,none,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,majority,mixed_light,mixed,light,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,majority,mixed_no_accent,mixed,medium,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,majority,no_accent,remove_diacritics,medium,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,majority,teencode_light,teencode,light,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,majority,typo_light,typo,light,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,majority,typo_medium,typo,medium,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,tfidf_char_svm,clean,clean,none,3166,0.8752368919772584,0.7387842592562812,0.8765275526811909
sentiment,tfidf_char_svm,mixed_light,mixed,light,3166,0.8644977890082123,0.7248298089551014,0.8675964676368965
sentiment,tfidf_char_svm,mixed_no_accent,mixed,medium,3166,0.46967782691092863,0.4110004826359039,0.5198132881003801
sentiment,tfidf_char_svm,no_accent,remove_diacritics,medium,3166,0.474415666456096,0.414024354738369,0.5228120042882902
sentiment,tfidf_char_svm,teencode_light,teencode,light,3166,0.8692356285533797,0.7334577372017494,0.87165571559739
sentiment,tfidf_char_svm,typo_light,typo,light,3166,0.8733417561591914,0.7315445704530212,0.8749146482582396
sentiment,tfidf_char_svm,typo_medium,typo,medium,3166,0.8704990524320909,0.7312117612953793,0.8725580666433377
sentiment,tfidf_word_svm,clean,clean,none,3166,0.8919772583701832,0.7289041804941077,0.8869996271404461
sentiment,tfidf_word_svm,mixed_light,mixed,light,3166,0.8818698673404928,0.7174282426662465,0.8768277257213706
sentiment,tfidf_word_svm,mixed_no_accent,mixed,medium,3166,0.401452937460518,0.3571448990805446,0.44264631622929096
sentiment,tfidf_word_svm,no_accent,remove_diacritics,medium,3166,0.4068224889450411,0.35968493832539833,0.4474244434998851
sentiment,tfidf_word_svm,teencode_light,teencode,light,3166,0.8856601389766267,0.7213042675090274,0.8809036528509989
sentiment,tfidf_word_svm,typo_light,typo,light,3166,0.8878711307643714,0.7226169658009932,0.8825469705451444
sentiment,tfidf_word_svm,typo_medium,typo,medium,3166,0.8818698673404928,0.7140890481286362,0.8771206549800705
topic,majority,clean,clean,none,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,majority,mixed_light,mixed,light,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,majority,mixed_no_accent,mixed,medium,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,majority,no_accent,remove_diacritics,medium,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,majority,teencode_light,teencode,light,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,majority,typo_light,typo,light,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,majority,typo_medium,typo,medium,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,tfidf_char_svm,clean,clean,none,3166,0.8335439039797852,0.732207043612927,0.8405751122231676
topic,tfidf_char_svm,mixed_light,mixed,light,3166,0.8212255211623499,0.7185785596255889,0.8301093471729677
topic,tfidf_char_svm,mixed_no_accent,mixed,medium,3166,0.4320909665192672,0.30028228382285166,0.4964272333151485
topic,tfidf_char_svm,no_accent,remove_diacritics,medium,3166,0.43619709412507895,0.2957021068403762,0.4995718303929242
topic,tfidf_char_svm,teencode_light,teencode,light,3166,0.822804801010739,0.7196435710700673,0.8315798444705091
topic,tfidf_char_svm,typo_light,typo,light,3166,0.8269109286165508,0.7230794678963879,0.8347234855443036
topic,tfidf_char_svm,typo_medium,typo,medium,3166,0.8259633607075174,0.7214172771884035,0.8343510883718528
topic,tfidf_word_svm,clean,clean,none,3166,0.8584965255843335,0.7509224329491841,0.8598470959343006
topic,tfidf_word_svm,mixed_light,mixed,light,3166,0.8461781427668983,0.7362050498817199,0.8486785631489602
topic,tfidf_word_svm,mixed_no_accent,mixed,medium,3166,0.32785849652558435,0.2616962667568826,0.40485042391276305
topic,tfidf_word_svm,no_accent,remove_diacritics,medium,3166,0.3297536323436513,0.2613589496179329,0.40645484637396606
topic,tfidf_word_svm,teencode_light,teencode,light,3166,0.8550221099178774,0.7490034519167426,0.8566821852131666
topic,tfidf_word_svm,typo_light,typo,light,3166,0.8553379658875553,0.7496646231407127,0.8574537906854403
topic,tfidf_word_svm,typo_medium,typo,medium,3166,0.8487049905243209,0.7396925342556816,0.8517134975197785
