task,variant,noise_type,noise_level,original_id,original_text,text,y_true,y_true_name,clean_y_pred,clean_y_pred_name,y_pred,y_pred_name,error_type,sentiment_label,sentiment_name,topic_label,topic_name
sentiment,no_accent,remove_diacritics,medium,test_2620,"cả 3 , 4 buổi thực hành theo hình thức 2 môn này có thầy thầy này tham gia hay hường dẫn buổi nào đâu mà đánh giá , chỉ có mỗi thầy wzjwz100 thôi .","ca 3 , 4 buoi thuc hanh theo hinh thuc 2 mon nay co thay thay nay tham gia hay huong dan buoi nao dau ma danh gia , chi co moi thay wzjwz100 thoi .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,3,others
sentiment,no_accent,remove_diacritics,medium,test_2490,dạy không đúng thời gian .,day khong dung thoi gian .,0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2582,thầy có kiến thức rất rộng .,thay co kien thuc rat rong .,2,positive,2,positive,0,negative,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2974,"sử dụng thời gian lên lớp không hiệu quả , khâu chuẩn bị nội dung chưa tốt .","su dung thoi gian len lop khong hieu qua , khau chuan bi noi dung chua tot .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_1745,"cách dạy của thầy cứ như là đọc chữ trong slide ra , không bao giờ có ví dụ , có demo cụ thể , sinh động .","cach day cua thay cu nhu la doc chu trong slide ra , khong bao gio co vi du , co demo cu the , sinh dong .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2086,"thầy wzjwz268 không truyền đạt những kiến thức cần thiết quan trọng mà trình bày nhiều thứ , cũng có thể là do đặt tính môn học .","thay wzjwz268 khong truyen dat nhung kien thuc can thiet quan trong ma trinh bay nhieu thu , cung co the la do dat tinh mon hoc .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_986,quá nhiều thứ phải làm trong môn học này .,qua nhieu thu phai lam trong mon hoc nay .,0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_551,khả năng truyền đạt của giảng viên chưa tốt .,kha nang truyen dat cua giang vien chua tot .,0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_1075,các bài tập thực hành và hoạt động giảng dạy của thầy đáp ứng đủ yêu cầu cơ bản của môn học .,cac bai tap thuc hanh va hoat dong giang day cua thay dap ung du yeu cau co ban cua mon hoc .,2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_188,cần bài tập có lời giải .,can bai tap co loi giai .,0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_2229,"em thấy thầy thuân sử dụng thời gian trên lớp thật sự chưa hiệu quả , có những vấn đề khó và tụi em phải về nhà tìm hiểu nhưng thầy lại không giảng lại cặn kẽ mà chỉ nêu ra những kiến thức mang tính hàn lâm tổng quát .","em thay thay thuan su dung thoi gian tren lop that su chua hieu qua , co nhung van de kho va tui em phai ve nha tim hieu nhung thay lai khong giang lai can ke ma chi neu ra nhung kien thuc mang tinh han lam tong quat .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_389,"thầy nhiệt tình , học 2 tiết cho làm bài tập 1 tiết phần vừa học .","thay nhiet tinh , hoc 2 tiet cho lam bai tap 1 tiet phan vua hoc .",2,positive,2,positive,0,negative,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_1314,"cải thiện cho em chất lượng máy chiếu phòng wzjwz113 , học gần công trình đang thi công ồn lắm .","cai thien cho em chat luong may chieu phong wzjwz113 , hoc gan cong trinh dang thi cong on lam .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,2,facility
sentiment,no_accent,remove_diacritics,medium,test_3075,"giảm bớt mớ lý thuyết lằng nhằng mà khó hiểu , tăng cường bài tập cũng như ví dụ nhưng giảng viên phải sửa cho sinh viên biết vấn đề .","giam bot mo ly thuyet lang nhang ma kho hieu , tang cuong bai tap cung nhu vi du nhung giang vien phai sua cho sinh vien biet van de .",0,negative,0,negative,2,positive,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_1945,"cô có kiến thức tốt , truyền đạt dễ hiểu , phát âm chuẩn .","co co kien thuc tot , truyen dat de hieu , phat am chuan .",2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2985,"giờ học là 7h30 thì 8h thầy vào lớp , hết tiết là 9h45 nhưng lại học tới 10h15 .","gio hoc la 7h30 thi 8h thay vao lop , het tiet la 9h45 nhung lai hoc toi 10h15 .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2045,thầy giảng rất nhiệt tình .,thay giang rat nhiet tinh .,2,positive,2,positive,0,negative,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2890,cho bài tập làm nhiều hơn điểm danh lấy điểm 5 - 10% cho bài kiểm tra trên lớp nhiều hơn .,cho bai tap lam nhieu hon diem danh lay diem 5 - 10% cho bai kiem tra tren lop nhieu hon .,0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_826,giảng viên nói tiếng anh khó nghe và khó hiểu .,giang vien noi tieng anh kho nghe va kho hieu .,0,negative,0,negative,2,positive,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2311,cập nhật giáo trình mới nhất phù hợp hơn .,cap nhat giao trinh moi nhat phu hop hon .,0,negative,0,negative,2,positive,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_634,thầy dạy rất nhiệt tình và luôn tạo không khí thoải mái trong giờ học .,thay day rat nhiet tinh va luon tao khong khi thoai mai trong gio hoc .,2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_777,đòi hỏi quá cao .,doi hoi qua cao .,0,negative,0,negative,2,positive,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_2475,"cần có một phương pháp giảng khác , chúng em là sinh viên chứ không phải là những người đi làm .","can co mot phuong phap giang khac , chung em la sinh vien chu khong phai la nhung nguoi di lam .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_1135,cập nhật giáo trình .,cap nhat giao trinh .,0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_191,theo em môn này nên chuyển sang hình thức đồ án cuối kỳ thay vì thi cuối kỳ thì sẽ hợp lý và hiệu quả hơn .,theo em mon nay nen chuyen sang hinh thuc do an cuoi ky thay vi thi cuoi ky thi se hop ly va hieu qua hon .,0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,1,training_program
sentiment,no_accent,remove_diacritics,medium,test_2343,giải thích chi tiết .,giai thich chi tiet .,2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2114,"giảng viên dạy nhiệt tình , giải đáp cặn kẽ các thắc mắc của sinh viên , luôn bám sát và tích cực hỗ trợ sinh viên khi gặp khó khăn trong quá trình hoàn thành đồ án môn học .","giang vien day nhiet tinh , giai dap can ke cac thac mac cua sinh vien , luon bam sat va tich cuc ho tro sinh vien khi gap kho khan trong qua trinh hoan thanh do an mon hoc .",2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_961,"phòng lab thực hành đã quá cũ nát , nên cải tiến và xây dựng hệ thống phòng lab để sinh viên có thể thực hành các kỹ năng của môn học này .","phong lab thuc hanh da qua cu nat , nen cai tien va xay dung he thong phong lab de sinh vien co the thuc hanh cac ky nang cua mon hoc nay .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,2,facility
sentiment,no_accent,remove_diacritics,medium,test_331,"thân thiện , có kinh nghiệm .","than thien , co kinh nghiem .",2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,no_accent,remove_diacritics,medium,test_2465,gần gũi .,gan gui .,2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,mixed_no_accent,mixed,medium,test_381,"đã vậy còn không tôn trọng sinh viên bằng việc cắt ngang buổi seminar của sinh viên với lý do "" em nói nhiều quá , thôi lướt qua phần này đi "" .","da vay con khog ton trong sinh vien bang viec cat ngang boui seminar cua sinh vien voi ly do "" em noi nhiu qua , thoi lot qua phan nay di "" .",0,negative,0,negative,1,neutral,clean_correct_noisy_wrong,0,negative,0,lecturer
sentiment,mixed_no_accent,mixed,medium,test_2700,kiến thức truyền đạt đến sinh viên rất tốt ạ !,kien thuc truyen dat den snih vien rat tot a !,2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
sentiment,mixed_no_accent,mixed,medium,test_825,giáo viên dễ tính .,giao vien de tinh .,2,positive,2,positive,1,neutral,clean_correct_noisy_wrong,2,positive,0,lecturer
