task,model,variant,label,precision,recall,f1_score,support,model_family,is_summary_label,variant_order,model_order
sentiment,majority,clean,negative,0.0,0.0,0.0,1409.0,baseline,False,0,0
sentiment,majority,clean,neutral,0.0,0.0,0.0,167.0,baseline,False,0,0
sentiment,majority,clean,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0,baseline,False,0,0
sentiment,majority,clean,accuracy,,,0.5022109917877448,,baseline,True,0,0
sentiment,majority,clean,macro avg,0.1674036639292482,0.3333333333333333,0.2228763666947014,3166.0,baseline,True,0,0
sentiment,majority,clean,weighted avg,0.2522158802724302,0.5022109917877448,0.3357928834913852,3166.0,baseline,True,0,0
sentiment,tfidf_word_svm,clean,negative,0.8821192052980132,0.9453513129879348,0.9126413155190134,1409.0,baseline,False,0,1
sentiment,tfidf_word_svm,clean,neutral,0.4454545454545454,0.2934131736526946,0.3537906137184115,167.0,baseline,False,0,1
sentiment,tfidf_word_svm,clean,positive,0.9333764553686934,0.9075471698113208,0.920280612244898,1590.0,baseline,False,0,1
sentiment,tfidf_word_svm,clean,accuracy,,,0.8919772583701832,,baseline,True,0,1
sentiment,tfidf_word_svm,clean,macro avg,0.753650068707084,0.7154372188173167,0.7289041804941077,3166.0,baseline,True,0,1
sentiment,tfidf_word_svm,clean,weighted avg,0.8848279953859861,0.8919772583701832,0.8869996271404461,3166.0,baseline,True,0,1
sentiment,tfidf_char_svm,clean,negative,0.8802477632484514,0.907735982966643,0.893780573025856,1409.0,baseline,False,0,2
sentiment,tfidf_char_svm,clean,neutral,0.3956043956043956,0.4311377245508982,0.4126074498567335,167.0,baseline,False,0,2
sentiment,tfidf_char_svm,clean,positive,0.9274983670803396,0.8930817610062893,0.9099647548862544,1590.0,baseline,False,0,2
sentiment,tfidf_char_svm,clean,accuracy,,,0.8752368919772584,,baseline,True,0,2
sentiment,tfidf_char_svm,clean,macro avg,0.7344501753110623,0.7439851561746101,0.7387842592562812,3166.0,baseline,True,0,2
sentiment,tfidf_char_svm,clean,weighted avg,0.8784135932219653,0.8752368919772584,0.8765275526811909,3166.0,baseline,True,0,2
sentiment,phobert,clean,negative,0.9433566433566434,0.957416607523066,0.9503346248679112,1409.0,phobert,False,0,3
sentiment,phobert,clean,neutral,0.6258992805755396,0.5209580838323353,0.5686274509803921,167.0,phobert,False,0,3
sentiment,phobert,clean,positive,0.947401377582968,0.9515723270440252,0.9494822717288988,1590.0,phobert,False,0,3
sentiment,phobert,clean,accuracy,,,0.9314592545799116,,phobert,True,0,3
sentiment,phobert,clean,macro avg,0.838885767171717,0.8099823394664756,0.822814782525734,3166.0,phobert,True,0,3
