variant,noise_type,noise_level,original_id,original_text,text,char_change_ratio,sentiment_label,sentiment_name,topic_label,topic_name
mixed_light,mixed,light,test_2791,"môn học này mặc dù phòng đào tạo cho sinh viên đăng ký nhưng em không thấy sắp xếp lịch học , phòng học .","môn học này mặc dù phòng đào tạo cho sinh viên đăng ký nhưng em ko thấy sắp xếp lịch học , phòng học .",0.024155,0,negative,1,training_program
mixed_light,mixed,light,test_2954,cần có giờ ra chơi giữa giờ vì học liên tục năm tiết đôi khi khiến sinh viên mệt mà khó tiếp thu bài giảng .,cần có giờ ra chi giữa giờ vì học liên tục năm tiết đôi khi khiến sinh viên mệt mà khó tiếp thu bg .,0.038462,0,negative,3,others
mixed_light,mixed,light,test_1123,"bài tập thầy cho ít , giải cũng ít , không có bài tập về nhà .","bt thầy cho ít , giải cũng ít , không có bài tập về nhà .",0.042017,0,negative,0,lecturer
mixed_light,mixed,light,test_204,giảng viên nhiệt tình dạy dễ hiểu .,gv nhiệt tình dạy dễ hiểu .,0.129032,2,positive,0,lecturer
mixed_light,mixed,light,test_148,thầy rất vui và dạy rất kỹ .,thầy rấtt vui và dạy rấtt kỹ .,0.034483,2,positive,0,lecturer
mixed_light,mixed,light,test_312,dạy quá nhanh và đôi chút hơi khó hiểu .,dạy quá nhanh và đôi cchút hơi khó hiểu .,0.012346,0,negative,0,lecturer
mixed_light,mixed,light,test_1094,"cho nhiều bài tập , cách hướng dẫn , tài liệu kỹ hơn .","cho nhiều bt , cách hướng dẫn , tài lệiu kỹ hơn .",0.067961,0,negative,1,training_program
mixed_light,mixed,light,test_2608,"thưa , thầy luôn nhiệt tâm với sinh viên .","thưa , thầy luôn nhiệt tâm với sv .",0.090909,2,positive,0,lecturer
mixed_light,mixed,light,test_1817,"giảng viên nhiệt tình , giảng dạy kiến thức thực tiễn .","gv nhiệt tình , gảing dạy kiến thức thực tiễn .",0.098039,2,positive,0,lecturer
mixed_light,mixed,light,test_107,thầy lý thuyết wzjwz223 cũng thường xuyên đi trễ .,thầy lý thuyết wzjwz223 cũnng thờưng xuyên đi trễ .,0.029703,0,negative,0,lecturer
mixed_light,mixed,light,test_1866,"lúc ngày đầu tiên vào giới thiệu thì tự thầy nói rằng thầy không yêu cầu cao , học hành rất thoải mái với thầy , nhưng càng về sau cả lớp đều chịu thua với độ khó tính của thầy .","lúc ngày đầu tiên vào giới thiệu thì tự thầy nói rằng thầy k yêu cầu cao , học hành rất thoải mái với thầy , nhưng càng về sau cả lớp đều chịu thua với độ khó tính của thầy .",0.011364,0,negative,0,lecturer
mixed_light,mixed,light,test_808,"đúng chất một cô giáo viên gương mẫu , cô dạy rất nhiệt tình , rất nhiệt huyết với nghề và cũng rất rất quan tâm tới sinh viên chúng em , dạy bằng cả trái tim .","đúng chất một cô giáo viên gương mẫu , cô dạy rất nhiệt tình , rất nhiệt huyết với nghề và cũng rất rất quan tâm tới sinh viên chúng em , dạy bnằg cả trái tim .",0.00625,2,positive,0,lecturer
mixed_light,mixed,light,test_1657,thầy dạy nhanh quá và ít cho bài tập về nhà .,thầy dạy nanh quá và ít cho bài tập về nhà .,0.011236,0,negative,0,lecturer
mixed_light,mixed,light,test_198,nên có các bài tập bắt buộc doubledot cá nhân doubledot nắm sát được tiến độ và khả năng của từng sinh viên nhóm doubledot đánh giá và hình thành kỹ năng làm việc nhóm đôi khi do không bắt buộc các bài tập nhóm và các bài tập thuyết trình mà các bạn sinh viên thụ động !,nên có các bài tập bắt buộc doubledot cá nhân doubledot nắm sát dc tiến độ và khả năng của từng sinh viên nhóm doubledot đánh giá và hình thành kỹ năng làm việc nhóm đôi khi do ko bắt buộc các bt nhóm và các bài tập thuyết trình mà các bạn sinh viên thụ động !,0.083019,0,negative,1,training_program
mixed_light,mixed,light,test_2638,nên đăng lên điểm thực hành hằng tuần để sinh viên tiện theo dõi .,nên đăng lên điểm thực hành hằng tuần để sinh viên tiện teho dõi .,0.015152,0,negative,0,lecturer
mixed_light,mixed,light,test_1494,"giáo viên giảng tận tình , đưa ra nhiều ví dụ cụ thể .","gio vin giảng tận tình , đưa ra nhiều ví dụ cụ thể .",0.018868,2,positive,0,lecturer
mixed_light,mixed,light,test_1215,"những phần dễ thì thầy nói luyên thuyên , ví dụ rất nhiều , những phần khó thầy lướt nhanh .","những phần dễ thì thầy nói luyên thuyên , ví dụ rấtt nhiều , những phần khó thầy lướt nhanh .",0.005405,0,negative,0,lecturer
