task,model,variant,label,precision,recall,f1_score,support
sentiment,majority,clean,negative,0.0,0.0,0.0,1409.0
sentiment,majority,clean,neutral,0.0,0.0,0.0,167.0
sentiment,majority,clean,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,clean,accuracy,,,0.5022109917877448,
sentiment,majority,clean,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,clean,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,majority,no_accent,negative,0.0,0.0,0.0,1409.0
sentiment,majority,no_accent,neutral,0.0,0.0,0.0,167.0
sentiment,majority,no_accent,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,no_accent,accuracy,,,0.5022109917877448,
sentiment,majority,no_accent,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,no_accent,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,majority,typo_light,negative,0.0,0.0,0.0,1409.0
sentiment,majority,typo_light,neutral,0.0,0.0,0.0,167.0
sentiment,majority,typo_light,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,typo_light,accuracy,,,0.5022109917877448,
sentiment,majority,typo_light,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,typo_light,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,majority,typo_medium,negative,0.0,0.0,0.0,1409.0
sentiment,majority,typo_medium,neutral,0.0,0.0,0.0,167.0
sentiment,majority,typo_medium,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,typo_medium,accuracy,,,0.5022109917877448,
sentiment,majority,typo_medium,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,typo_medium,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,majority,teencode_light,negative,0.0,0.0,0.0,1409.0
sentiment,majority,teencode_light,neutral,0.0,0.0,0.0,167.0
sentiment,majority,teencode_light,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,teencode_light,accuracy,,,0.5022109917877448,
sentiment,majority,teencode_light,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,teencode_light,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,majority,mixed_light,negative,0.0,0.0,0.0,1409.0
sentiment,majority,mixed_light,neutral,0.0,0.0,0.0,167.0
sentiment,majority,mixed_light,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,mixed_light,accuracy,,,0.5022109917877448,
sentiment,majority,mixed_light,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,mixed_light,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,majority,mixed_no_accent,negative,0.0,0.0,0.0,1409.0
sentiment,majority,mixed_no_accent,neutral,0.0,0.0,0.0,167.0
sentiment,majority,mixed_no_accent,positive,0.5022109917877448,1.0,0.6686291000841043,1590.0
sentiment,majority,mixed_no_accent,accuracy,,,0.5022109917877448,
sentiment,majority,mixed_no_accent,macro avg,0.16740366392924824,0.3333333333333333,0.22287636669470143,3166.0
sentiment,majority,mixed_no_accent,weighted avg,0.25221588027243025,0.5022109917877448,0.33579288349138525,3166.0
sentiment,tfidf_word_svm,clean,negative,0.8821192052980132,0.9453513129879347,0.9126413155190134,1409.0
sentiment,tfidf_word_svm,clean,neutral,0.44545454545454544,0.2934131736526946,0.35379061371841153,167.0
sentiment,tfidf_word_svm,clean,positive,0.9333764553686934,0.9075471698113208,0.920280612244898,1590.0
sentiment,tfidf_word_svm,clean,accuracy,,,0.8919772583701832,
sentiment,tfidf_word_svm,clean,macro avg,0.753650068707084,0.7154372188173167,0.7289041804941077,3166.0
sentiment,tfidf_word_svm,clean,weighted avg,0.8848279953859861,0.8919772583701832,0.8869996271404461,3166.0
sentiment,tfidf_word_svm,no_accent,negative,0.5135730007336757,0.49680624556423,0.5050505050505051,1409.0
sentiment,tfidf_word_svm,no_accent,neutral,0.08442776735459662,0.5389221556886228,0.145985401459854,167.0
sentiment,tfidf_word_svm,no_accent,positive,0.6757123473541384,0.3132075471698113,0.42801890846583585,1590.0
sentiment,tfidf_word_svm,no_accent,accuracy,,,0.4068224889450411,
sentiment,tfidf_word_svm,no_accent,macro avg,0.42457103848080363,0.449645316140888,0.35968493832539833,3166.0
sentiment,tfidf_word_svm,no_accent,weighted avg,0.5723646328095537,0.4068224889450411,0.4474244434998851,3166.0
sentiment,tfidf_word_svm,typo_light,negative,0.8793103448275862,0.9410929737402413,0.9091532396297566,1409.0
sentiment,tfidf_word_svm,typo_light,neutral,0.4392523364485981,0.281437125748503,0.34306569343065696,167.0
sentiment,tfidf_word_svm,typo_light,positive,0.927143778207608,0.9044025157232705,0.9156319643425661,1590.0
sentiment,tfidf_word_svm,typo_light,accuracy,,,0.8878711307643714,
sentiment,tfidf_word_svm,typo_light,macro avg,0.7485688198279309,0.7089775384040049,0.7226169658009932,3166.0
sentiment,tfidf_word_svm,typo_light,weighted avg,0.8801206643711564,0.8878711307643714,0.8825469705451444,3166.0
sentiment,tfidf_word_svm,typo_medium,negative,0.874251497005988,0.9325762952448545,0.9024725274725275,1409.0
sentiment,tfidf_word_svm,typo_medium,neutral,0.40350877192982454,0.2754491017964072,0.3274021352313167,167.0
sentiment,tfidf_word_svm,typo_medium,positive,0.9244673983214977,0.9006289308176101,0.9123924816820643,1590.0
sentiment,tfidf_word_svm,typo_medium,accuracy,,,0.8818698673404928,
sentiment,tfidf_word_svm,typo_medium,macro avg,0.7340758890857702,0.7028847759529574,0.7140890481286362,3166.0
sentiment,tfidf_word_svm,typo_medium,weighted avg,0.8746397623262474,0.8818698673404928,0.8771206549800705,3166.0
sentiment,tfidf_word_svm,teencode_light,negative,0.8820754716981132,0.92902767920511,0.9049429657794676,1409.0
sentiment,tfidf_word_svm,teencode_light,neutral,0.4247787610619469,0.2874251497005988,0.34285714285714286,167.0
sentiment,tfidf_word_svm,teencode_light,positive,0.9222434671765456,0.910062893081761,0.9161126938904717,1590.0
sentiment,tfidf_word_svm,teencode_light,accuracy,,,0.8856601389766267,
sentiment,tfidf_word_svm,teencode_light,macro avg,0.7430325666455353,0.7088385739958233,0.7213042675090274,3166.0
sentiment,tfidf_word_svm,teencode_light,weighted avg,0.8781268179187284,0.8856601389766267,0.8809036528509989,3166.0
sentiment,tfidf_word_svm,mixed_light,negative,0.8803245436105477,0.9240596167494677,0.9016620498614959,1409.0
sentiment,tfidf_word_svm,mixed_light,neutral,0.42727272727272725,0.281437125748503,0.33935018050541516,167.0
sentiment,tfidf_word_svm,mixed_light,positive,0.9150285351934052,0.9075471698113208,0.9112724976318283,1590.0
sentiment,tfidf_word_svm,mixed_light,accuracy,,,0.8818698673404928,
sentiment,tfidf_word_svm,mixed_light,macro avg,0.7408752686922266,0.7043479707697639,0.7174282426662465,3166.0
sentiment,tfidf_word_svm,mixed_light,weighted avg,0.8738557164748331,0.8818698673404928,0.8768277257213706,3166.0
sentiment,tfidf_word_svm,mixed_no_accent,negative,0.5085629188384214,0.48474095102909864,0.49636627906976744,1409.0
sentiment,tfidf_word_svm,mixed_no_accent,neutral,0.08600182982616651,0.562874251497006,0.1492063492063492,167.0
sentiment,tfidf_word_svm,mixed_no_accent,positive,0.6767123287671233,0.31069182389937106,0.42586206896551726,1590.0
sentiment,tfidf_word_svm,mixed_no_accent,accuracy,,,0.401452937460518,
sentiment,tfidf_word_svm,mixed_no_accent,macro avg,0.4237590258105704,0.4527690088084919,0.3571448990805446,3166.0
sentiment,tfidf_word_svm,mixed_no_accent,weighted avg,0.5707201708667188,0.401452937460518,0.44264631622929096,3166.0
sentiment,tfidf_char_svm,clean,negative,0.8802477632484514,0.907735982966643,0.893780573025856,1409.0
sentiment,tfidf_char_svm,clean,neutral,0.3956043956043956,0.4311377245508982,0.41260744985673353,167.0
sentiment,tfidf_char_svm,clean,positive,0.9274983670803396,0.8930817610062893,0.9099647548862544,1590.0
sentiment,tfidf_char_svm,clean,accuracy,,,0.8752368919772584,
sentiment,tfidf_char_svm,clean,macro avg,0.7344501753110623,0.7439851561746101,0.7387842592562812,3166.0
sentiment,tfidf_char_svm,clean,weighted avg,0.8784135932219653,0.8752368919772584,0.8765275526811909,3166.0
sentiment,tfidf_char_svm,no_accent,negative,0.594925634295713,0.48261178140525196,0.5329153605015674,1409.0
sentiment,tfidf_char_svm,no_accent,neutral,0.09214659685863874,0.5269461077844312,0.1568627450980392,167.0
sentiment,tfidf_char_svm,no_accent,positive,0.6872659176029963,0.46163522012578617,0.5522949586155004,1590.0
sentiment,tfidf_char_svm,no_accent,accuracy,,,0.474415666456096,
