task,variant,noise_type,noise_level,original_id,original_text,text,y_true,y_true_name,clean_y_pred,clean_y_pred_name,y_pred,y_pred_name,error_type,sentiment_label,sentiment_name,topic_label,topic_name
topic,no_accent,remove_diacritics,medium,test_402,cám ơn thầy fraction cô rất nhiều .,cam on thay fraction co rat nhieu .,0,lecturer,0,lecturer,3,others,clean_correct_noisy_wrong,2,positive,0,lecturer
topic,no_accent,remove_diacritics,medium,test_2987,"thầy chưa giải đáp thỏa đáng yêu cầu của sinh viên , chưa nhiệt tình lắm !","thay chua giai dap thoa dang yeu cau cua sinh vien , chua nhiet tinh lam !",0,lecturer,0,lecturer,1,training_program,clean_correct_noisy_wrong,0,negative,0,lecturer
topic,no_accent,remove_diacritics,medium,test_2562,thấy nên lên lớp đầy đủ hon .,thay nen len lop day du hon .,0,lecturer,0,lecturer,1,training_program,clean_correct_noisy_wrong,0,negative,0,lecturer
topic,no_accent,remove_diacritics,medium,test_1917,tài liệu của giảng viên đưa ra còn thiếu sót và nội dung tài liệu có nhiều sai sót .,tai lieu cua giang vien dua ra con thieu sot va noi dung tai lieu co nhieu sai sot .,1,training_program,1,training_program,3,others,clean_correct_noisy_wrong,0,negative,1,training_program
topic,no_accent,remove_diacritics,medium,test_3011,em fraction tôi nhận thấy phương pháp giảng dạy của giảng viên không phù hợp để nâng cao trình độ thực của sinh viên học vẹt 60% .,em fraction toi nhan thay phuong phap giang day cua giang vien khong phu hop de nang cao trinh do thuc cua sinh vien hoc vet 60% .,0,lecturer,0,lecturer,3,others,clean_correct_noisy_wrong,0,negative,0,lecturer
topic,no_accent,remove_diacritics,medium,test_424,thầy giảng dạy nhiệt tình .,thay giang day nhiet tinh .,0,lecturer,0,lecturer,1,training_program,clean_correct_noisy_wrong,2,positive,0,lecturer
topic,no_accent,remove_diacritics,medium,test_2611,thầy giảng bài tập thực hành đa số là thầy ngồi mở máy tính làm việc rất ít giao tiếp với sinh viên và thầy giảng rất là khó hiểu .,thay giang bai tap thuc hanh da so la thay ngoi mo may tinh lam viec rat it giao tiep voi sinh vien va thay giang rat la kho hieu .,0,lecturer,0,lecturer,1,training_program,clean_correct_noisy_wrong,0,negative,0,lecturer
topic,no_accent,remove_diacritics,medium,test_2130,thực hành xong ít nhất 3 tuần lý thuyết mới học tới nên em có ý kiến nên phân bổ lại thời gian thực hành hoặc chọn nội dung thực hành cho phù hợp với tiến độ lý thuyết trên lớp .,thuc hanh xong it nhat 3 tuan ly thuyet moi hoc toi nen em co y kien nen phan bo lai thoi gian thuc hanh hoac chon noi dung thuc hanh cho phu hop voi tien do ly thuyet tren lop .,1,training_program,1,training_program,3,others,clean_correct_noisy_wrong,0,negative,1,training_program
topic,no_accent,remove_diacritics,medium,test_107,thầy lý thuyết wzjwz223 cũng thường xuyên đi trễ .,thay ly thuyet wzjwz223 cung thuong xuyen di tre .,0,lecturer,0,lecturer,1,training_program,clean_correct_noisy_wrong,0,negative,0,lecturer
topic,no_accent,remove_diacritics,medium,test_412,phần thực hành cần có thời lượng cao hơn và nhiều nội dung bổ trợ lý thuyết hơn .,phan thuc hanh can co thoi luong cao hon va nhieu noi dung bo tro ly thuyet hon .,1,training_program,1,training_program,3,others,clean_correct_noisy_wrong,0,negative,1,training_program
